CUST_Type,CUST_Name,phoneNumber,address,district,longitude,latitude
Low End,GOLDEN PALACE ADUKROM(A2),549158912,Accra,South,-0.07806,6.0145
Mainstream,Chillers Spot,598282335,Accra,South,-0.30863,5.57629
Low End,Aponkye NkrakraAwukusua -,243938679,Ghana,South,-0.08235,5.99808
Low End,Silver Spot Awukugua,543643394,Ghana,South,-0.0821075,5.998032
Low End,GENTLE SPOT(B2),242726593,Accra,South,-0.08222,5.99781
Low End,VIBES PUB AWUKUGWA(B2),249514471,Accra,South,-0.08231,5.99657
Low End,Octopus Pub,242288619,Ghana,South,-0.08238,5.99383
Low End,NEXT TIME DAWU(A2),543584792,Accra,South,-0.0845279,5.9902573
Low End,Lovers Inn-Dawu,240831588,Ghana,South,-0.08566,5.98813
Mainstream,PIPPERS GREEN(C2),243705186,Accra,South,-0.08993,5.98014
Mainstream,STATE HOUSE(C3),200177588,Accra,South,-0.090045,5.980185
Mainstream,BANBOLLA SPOT(C3),209297414,Accra,South,-0.09049,5.97822
Low End,The Base Abriw,548027486,Ghana,South,-0.0902993,5.978049
Low End,AREA MAMA AKROPONG(A2),553868247,Accra,South,-0.08688,5.97364
Mainstream,WACKY INN(C2),243215321,Accra,South,-0.08693,5.97352
Low End,NYAADEBI SPOT(C3),243435819,Accra,South,-0.08744,5.97302
Mainstream,Sledges Pub,554499951,Accra,South,-0.42106,5.57054
Mainstream,Links Tavern,243160171,Accra,South,-0.26491,5.58539
Mainstream,Filling Station,242275752,Accra,South,-0.41795,5.5047
Low End,Suzzey Inn,246008523,Ghana,South,-0.08883,5.97166
Low End,Fezzels Pub,244226132,Ghana,South,-0.08895,5.97155
Mainstream,TIPSY(C2),249525322,Accra,South,-0.08891,5.97146
Mainstream,Ofie Spot,577441241,Accra,South,-0.23822,5.60701
Low End,Fabiola Spot,501627130,Ghana,South,-0.08899,5.97149
Low End,Adinkanfo Spot,248807042,Ghana,South,-0.08909,5.97153
Mainstream,Peace SpotAkropong -Akrop,244963478,Ghana,South,-0.08941,5.97119
Low End,Nasa Inn,241912651,Ghana,South,-0.08948,5.97105
Low End,Office Pub,243611944,Ghana,South,-0.08942,5.97093
Low End,Executive Pub Akropong,242501279,Accra,South,-0.0896178,5.9706163
Mainstream,"EXECUTIVE PUB,AKROPONG",54255231,Accra,South,-0.08965,5.97067
Wholesaler,Even me wholesale and Retail,208828551,Accra,South,-0.25763,6.06078
Mainstream,REGY'S PUB(C1),243233719,Accra,South,-0.3821,5.54593
Wholesaler,FP Ventures,274046424,Ghana,South,-0.26241,6.05362
High End,EASTERN PREMIERE HOTEL(B1,536520191,Accra,South,-0.26221,6.05315
Mainstream,CHICKEN AND BEER PUB(C3),274272691,Accra,South,-0.2694,6.0937
Low End,Las Vegas,200654680,Ghana,South,-0.266259,6.052908
Mainstream,Lorkel Pub,243050864,Accra,South,-0.26268,6.05273
Wholesaler,Obotan spot opp Ike Rest,242721554,Accra,South,-0.25177,6.0784
Mainstream,JUVIE SPOT(B2),247954657,Accra,South,-0.26088,6.04298
Mainstream,KINGS PUB OKRASI(C3),557697153,Accra,South,-0.260284,6.040481
Mainstream,Eastside pub and grill,246444141,Accra,South,-0.26043,6.04042
Low End,Red Onion Pub,554677563,Accra,South,-0.2596818,6.0374134
Low End,NAOMI SPOT(B2),245773909,Accra,South,-0.25949,6.0366
Mainstream,ICE PUB(B2),243435819,Accra,South,-0.258508,6.033746
Mainstream,Kwame Oduro Spot,557711220,Accra,South,-0.2362,5.60367
Mainstream,SANKOFA SPOT ADUKROMB(B2),242669119,Accra,South,-0.07770,6.01690
Mainstream,Obede,207820142,Accra,South,-0.23701,5.56854
Mainstream,LAST HOUR ASENEMA(A2),553112512,Accra,South,-0.0978949,6.0625725
Mainstream,AMSTERDAM SPOT(A2),248807042,Accra,South,-0.2731,6.1189
Mainstream,Bold,208113152,Accra,South,-0.23667,5.56822
Mainstream,"Flora Pub, Effiduase",248210455,Accra,South,-0.21603,6.12618
Mainstream,Deborah Nannor,244598424,Kumasi,North,-1.64399,6.68226
Low End,Philadelphia Depot,274679656,Nkrakan,South,-0.2127269,6.1276693
Low End,1 corner base,543778621,Ghana,South,-0.2113709,6.1296067
High End,AK pub,573133203,Accra,South,-0.17273,5.57462
Low End,Vida spot,507005609,Huhuya,South,-0.178174,6.1648574
Low End,TWINS SPOT(B3),244869560,Somanya,South,-0.00197,6.13880
Low End,BELLETY PUB(C3),249908387,Somanya,South,0.0029,6.13720
Low End,GLADYS(C3),201941247,Somanya,South,0.00273,6.13539
Low End,CECE'S(C3),244662795,Somanya,South,-0.01093,6.10368
Low End,THE POINT(C3),242517974,Somanya,South,0.00222,6.13248
High End,The PointOdumase -Odumase,244677598,Accra,South,-0.19521,5.61469
Low End,HAPPY(C3),546127594,Somanya,South,0.00476,6.13612
Mainstream,ROSEMARY LUCKY SPOT(B3),248327668,Somanya,South,0.00474,6.13629
Low End,DJAB'S JOINT(B2),246840377,Somanya,South,0.00640,6.13930
Low End,Roseselby,241470010,Somanya,South,0.00652,6.13960
Low End,Amifoni  Spot,247517103,Somanya,South,0.00727,6.14207
Wholesaler,NI NYE GU(C1),554798851,Somanya,South,0.00907,6.14383
Wholesaler,Bush Canteen Agomeda,249555315,Somanya,South,0.01163,5.97943
Wholesaler,IN HIM I TRUST(C1),241604615,Somanya,South,0.01036,6.14507
Mainstream,BULA SPOT(C3),246417204,Somanya,South,0.01105,6.14594
Mainstream,OHENEBS(C1),550289513,Somanya,South,0.01103,6.14618
Low End,Roman View,268822255,Accra,South,0.0116965,6.1468215
Low End,Roman View,244546654,Ghana,South,0.01174,6.14693
Mainstream,OLIKEDIKE PUB(C1),241967729,Accra,South,0.01337,6.14786
Mainstream,SUNSET BAR & RESTAURANT(C,549506957,Somanya,South,0.01174,6.14969
Low End,LEVEL 400 SPOT(C1),543710390,Somanya,South,0.01097,6.14969
Mainstream,STRAWBERRY SPOT(C1),558593007,Somanya,South,0.01053,6.15032
Mainstream,Chocolate Pub,246308841,Accra,South,0.01121,6.15229
Mainstream,HOT BIRD PUB(C1),543906364,Somanya,South,-0.01882,6.07813
Low End,REGINA'S MEMORIAL BAR(C3),242684834,Somanya,South,0.02445,6.15590
Low End,Legends Bar Odumase,559560322,Somanya,South,0.0359839,6.1573386
Low End,peace bar,244546520,Somanya,South,0.06063,6.15504
Low End,Peace Spot Kpong,244409557,Ghana,South,0.06088,6.15499
Low End,Bull ball pub -Atimpoku,273177968,Ghana,South,-0.09262,6.23682
Low End,Happy Spot Asenema,548598578,Accra,South,-0.19924,6.12514
Mainstream,Wengeze,243335475,Nkrakan,South,-0.2107783,6.125752
Low End,E&J Enterprise,548774078,Ghana,South,-0.25648,6.08592
Mainstream,ABOSUO ANNEX(C1),243827552,Accra,South,-0.25097,6.07235
Mainstream,A PLUS SPOT,269451104,Ghana,South,-0.2508142,6.0718036
Wholesaler,Refreshment Spot Adweso,263587451,Eastern 1,South,-0.2511797,6.0706115
Mainstream,ENKASA PUB(C2),591017972,Accra,South,-0.25044,6.07016
Mainstream,Avenue 205,249065457,Accra,South,-0.25088,6.06995
Low End,Stop Over Koforidua,273177968,Ghana,South,-0.25976,6.06022
Mainstream,OBAA YAA BAR(B1),277587676,Accra,South,-0.279458,6.102453
Mainstream,DEMOCRACY VILLAGE(A1),557211151,Accra,South,-0.28039,6.11261
Wholesaler,Mayfil Enterprise,243570750,Accra,South,-0.27185,6.11659
Mainstream,PUB 7 ASOKORI(B1),508256712,Accra,South,-0.2719,6.11646
Mainstream,OKRA SPOT(A2),249763573,Accra,South,-0.27159,6.115509
Mainstream,O Green Pub,208123379,Accra,South,-0.26428,6.08904
Mainstream,ANIKUS SPOT(B1),240452525,Accra,South,-0.2577,6.07851
Mainstream,BIG T SPOT(A1),246851670,Accra,South,-0.25867,6.09025
Wholesaler,CNJ ANNEX,244217094,Accra,South,-0.254766,6.0872093
Mainstream,CELEBRATION PUB(C3),208828427,Accra,South,-0.2512345,6.0852613
Low End,AJUBI SPOT(B2),279808175,Accra,South,-0.253322,6.0834694
Mainstream,MAGS CORNER(B2),244613514,Accra,South,-0.25177,6.0784
Low End,Traffic Pub,553142069,Eastern 1,South,-0.2497233,6.0781317
Mainstream,PLUS DE 2(C2),244504570,Accra,South,-0.25017,6.07448
Low End,Rosalinda Spot,244523426,Eastern 1,South,-0.25073,6.072008
Mainstream,Happy time - mortuary,243317450,Accra,South,-0.25901,6.09698
Low End,American Stays Bar,244779655,Ghana,South,-0.2580114,6.0982207
Mainstream,PEERS LOUNGE(C3),207922018,Accra,South,-0.25761,6.09862
Low End,Berima Nkwan Mortuary Roa,201385338,Accra,South,-0.2572191,6.0992222
Low End,Diamond Joint - Mortuary Road,246547689,Accra,South,-0.25681,6.0997
Mainstream,"Hideout Pub, Anlo- Town",246158257,Accra,South,-0.25665,6.09985
Low End,Nana yaa  kiddy ventures,201265876,Accra,South,-0.2560021,6.0996418
Low End,New York City pub,243004730,Ghana,South,-0.2553622,6.0991625
Mainstream,PIZZARO JOINT(C3),244964849,Accra,South,-0.25274,6.10154
Low End,Mc Kay,204321234,Ghana,South,-0.25204,6.10102
Mainstream,AJ'S Pub Effiduase,550797058,Accra,South,-0.26943,6.09378
Mainstream,FARISCO SPOT - ZONGO(B2),248204241,Accra,South,-0.24494,6.10999
Mainstream,KISCO SPOT(A2),244034521,Accra,South,-0.26324,6.11052
Mainstream,Trinity Wholesome Asokore,244508987,Accra,South,-0.2694,6.0937
Wholesaler,KONADU WHOLESALE(A2),248423303,Accra,South,-0.2703778,6.1112753
Wholesaler,Oh Bell LTD,248423303,Accra,South,-0.2726921,6.1100725
Mainstream,GLAMOUR SPOT(B2),243607050,Accra,South,-0.25491,6.09596
Mainstream,U TURN(C2),205719483,Accra,South,-0.24983,6.08036
Low End,EUGENIA'S PUB BETOM(C2),248952286,Accra,South,-0.25412,6.08433
Wholesaler,DEAR PUB AND WHOLESALE,244525273,Accra,South,-0.26941,6.09378
Wholesaler,Young Curtis Enterprise,244582532,Accra,South,-0.25638,6.09053
Low End,Alhaji Books Wholesale,209414971,Eastern 1,South,-0.25692,6.08991
Low End,SB Pub Effiduase,247783805,Accra,South,-0.26942,6.09378
Low End,Boahemaa Bar Betom opp Ab,272378974,Ghana,South,-0.2558004,6.0851704
Low End,WASHINGSTON PUB BETOM(C3),593018538,Accra,South,-0.25562,6.08539
Mainstream,BOLD BAR,550858954,Accra,South,-0.2530856,6.0963043
Wholesaler,Dorado Ventures  Dawu,0,Ghana,South,-0.26943,6.09379
Low End,ECG PUB KOFORIDUA,244119651,Accra,South,-0.25799,6.09587
Low End,Liscole Restaurant,342024217,Ghana,South,-0.256831,6.0950086
Wholesaler,AUNTY AKYERE WHOLESALE(A2,024 351 410,Accra,South,-0.256018,6.0941241
Low End,Circle Spot,203563435,Accra,South,-0.25601,6.09317
Low End,Shakers Pub,244891510,Accra,South,-0.255181,6.0932066
Low End,ORIGINAL 1 CORNER(A2),241466629,Accra,South,-0.254884,6.0922805
Low End,3 CHAMBERS(A2),553868247,Accra,South,-0.25597,6.09158
Low End,Nana Tupen,244582552,Eastern 1,South,-0.2562,6.09062
Low End,Tottenham Pub Lundry,204709092,Eastern 1,South,-0.2550588,6.0898388
Wholesaler,C N J MAIN(A2),244217094,Accra,South,-0.2560064,6.0895312
Low End,Karldorf,249763573,Ghana,South,-0.257088,6.089739
Low End,Srodae,244270055,Accra,South,-0.25319,6.09640
Mainstream,ADOM SPOT(C3),245083604,Accra,South,-0.2591234,6.0884347
